    "time",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "Losses",  "uAC[1]",  "uAC[2]",  "uAC[3]",     "uDC"
    0.0322,-87.982325, 305.27952,-217.29719, 2219.1529,-535.64736, 535.77667,-0.12931474, 531.25517
    0.0324,-199.79106,  200.0743,-0.28324438, 1618.4803,-532.25505, 407.74986, 124.50519, 527.85624
    0.0326,-226.43956, 226.66335,-0.22379096, 1722.4189,-528.44718, 376.11919,   152.328, 523.99514
    0.0328, -272.5284, 272.69186,-0.1634538,  1932.133,-525.16755, 344.31076, 180.85679, 520.62338
     0.033,-333.46305, 333.56553,-0.10247173, 2234.5575,-522.63052, 312.55118, 210.07934, 517.96454
    0.0332,-404.06357, 404.10465,-0.04108491, 2611.9355,-520.99567, 281.04031, 239.95536, 516.18854
    0.0334,-479.04896, 479.02849,0.020463883, 3041.4408,-520.34566, 249.94088, 270.40478, 515.38862
    0.0336,-553.05019, 552.96825,0.081931913, 3493.6576,-520.68973, 219.37887, 301.31086, 515.58476
    0.0338,-620.72955, 620.58648, 0.1430766, 3932.8952,-521.97398, 189.44862, 332.52536,  516.7337
     0.034,-676.92979, 676.72614,0.20365662, 4318.9663,-524.06497, 160.20407,  363.8609, 518.71236
    0.0342,-716.79155, 716.52812,0.26343292, 4610.0989,-526.76916, 131.66799, 395.10117,  521.3369
    0.0344,-735.88972, 735.56755,0.32216954, 4766.8741,-529.82895, 103.82954, 425.99941, 524.35855
    0.0346,-730.32936, 729.94972, 0.3796347,  4756.503, -532.9338, 76.649363, 456.28444, 527.47459
    0.0348,-696.86193, 696.42633,0.43560166, 4557.3243, -535.7253, 50.061605,  485.6637, 530.33309
     0.035,-632.95015,  632.4603, 0.4898494, 4162.5619,-537.80885, 23.979479, 513.82937, 532.54452
    0.0352,-536.93826, 536.12252,0.81573815, 3581.1535,-538.76145,0.53530625, 538.22614, 533.68946
    0.0354,-424.13662, 390.22986, 33.906766, 2886.6507,-538.22601,0.35632274, 537.86969, 533.41272
    0.0356,-305.46457, 183.08207,  122.3825, 2214.6256,-536.08133,0.060699505, 536.02063, 531.59386
    0.0358,-222.81588,0.26353965, 222.55234, 1724.3307,-398.10965,-134.56973, 532.67938, 528.23507
     0.036,-253.37523,0.20376501, 253.17147, 1852.5255,-366.48647,-162.72125, 529.20772, 524.70223
