    "time",  "iAC[1]",  "iAC[2]",  "iAC[3]",  "Losses",  "uAC[1]",  "uAC[2]",  "uAC[3]",     "uDC"
     0.027, 600.03256,0.10236135,-600.13492, 3789.9647, 208.73914, 311.10059,-519.83973,  514.6406
    0.0272, 666.06926,0.16334454,-666.23261, 4234.2176, 179.19863, 342.54334,-521.74197, 516.41071
    0.0274, 718.39419,0.22368308,-718.61787, 4606.9513, 150.36422, 374.04752,-524.41174, 518.97577
    0.0276, 752.26109,0.28313884,-752.54423, 4865.5203, 122.24275, 405.38188,-527.62464, 522.12088
    0.0278, 763.39582,0.34147719, -763.7373,  4971.293, 94.809565, 436.28709,-531.09666, 525.57059
     0.028, 748.11723,0.39846788, -748.5157, 4894.3115, 68.012021,  466.4803,-534.49232, 528.99675
    0.0282, 703.41788,  0.453886,-703.87176, 4617.5686, 41.773041, 495.65949,-537.43253, 532.02632
    0.0284, 627.04672,0.50751286,-627.55423, 4140.6894, 15.995577, 523.50894,-539.50452,   534.251
    0.0286, 515.38924,  4.920886,-520.31013, 3480.2711,0.51046784, 539.76609,-540.27655, 535.24193
    0.0288, 347.21644, 54.810529,-402.02697, 2754.2442,0.29240562, 539.16543,-539.45783, 534.70967
     0.029, 117.61209, 159.51481, -277.1269, 2078.6273,-0.04190267, 536.99251,-536.95061, 532.55694
    0.0292,0.24371875,  231.2935,-231.53722, 1764.2249,-144.87929, 533.47757,-388.59828, 529.01581
    0.0294,0.18364968, 264.98612,-265.16977, 1910.5009,-173.25003, 530.14994, -356.8999, 525.62084
    0.0296,0.12285583, 314.85523,-314.97809, 2150.9141,-202.28032,  527.4166,-325.13628, 522.78783
    0.0298,0.061577128, 376.08093,-376.14251, 2469.1641,-231.93719, 525.45158,-293.51438,  520.7004
      0.03,5.5406041e-005, 443.58109,-443.58115, 2844.5665,-262.15372, 524.36285,-262.20913, 519.47673
    0.0302,-0.061466535, 512.13466, -512.0732, 3250.7101,-292.82781, 524.18902,-231.36121, 519.16585
    0.0304,-0.1227459, 576.51405, -576.3913, 3655.3532, -323.8221, 524.89819,-201.07609, 519.74633
    0.0306,-0.18354083, 631.61853,-631.43499, 4021.6182,-354.96577, 526.39052,-171.42475, 521.12852
    0.0308,-0.24361142, 672.59626,-672.35265, 4310.3312,-386.05578, 528.49989,-142.44411, 523.15599
     0.031,-0.30272058, 694.97207,-694.66935, 4483.4149,-416.85981, 530.99873,-114.13892, 525.61015
    0.0312,-0.36063505, 694.75176,-694.39112,  4507.809, -447.1196, 533.60379,-86.484188, 528.21571
    0.0314,-0.41712625, 668.52697,-668.10985, 4359.6536,-476.55506, 535.98345,-59.428393, 530.64789
    0.0316,-0.47197125, 613.56315,-613.09118, 4028.1511, -504.8691, 537.76649,-32.897384, 532.54091
    0.0318,-0.52495359, 527.87237,-527.34741, 3518.6503,-531.75297, 538.55182,-6.7988546, 533.49768
     0.032,-16.874345, 418.40386,-401.52952, 2866.0556,-537.56127, 537.94592,-0.38465479, 533.12706
    0.0322,-87.943555, 303.79092,-215.84736, 2211.6689,-535.64957, 535.77747,-0.12790368,  531.2589
    0.0324,-199.03077, 199.31402,-0.28324398, 1614.7916,-532.23814,  407.7412, 124.49694, 527.84086
    0.0326,-225.76965, 225.99344,-0.22379096, 1719.0569,-528.41679, 376.10399,  152.3128, 523.96609
    0.0328,-271.99408, 272.15753,-0.1634538, 1929.3069,-525.12554, 344.28975, 180.83579, 520.58244
     0.033,-332.98279, 333.08526,-0.10247156, 2231.8778,-522.58391, 312.52778, 210.05612, 517.91889
    0.0332,-403.66177, 403.70286,-0.04108491, 2609.5499,-520.94482, 281.01489, 239.92994,  516.1385
    0.0334,-478.73799, 478.71753,0.020463883,  3039.464,-520.29183, 249.91396, 270.37787, 515.33541
    0.0336,-552.82663,  552.7447,0.081931914, 3492.1336,-520.63687, 219.35244, 301.28443, 515.53234
    0.0338,-620.58872, 620.44564, 0.1430766, 3931.8443,-521.92037, 189.42181, 332.49855, 516.68038
